nom_modele,performance,fairness_accuracy,fairness_disparate_impact,interpretability,privacy
age credit_history foreign_worker housing installment_as_income_perc other_debtors personal._status present_emp_since property telephone,0.662678571428571,-0.0016152234418488967,0.449656750572082,-10.0,-7.0
account_check_status credit_history credits_this_bank foreign_worker other_installment_plans present_emp_since property sex telephone,0.717142857142857,0.04403816679066361,0.827573392790784,-9.0,-5.0
account_check_status age credit_amount credit_history foreign_worker other_debtors present_emp_since savings sex,0.74,0.015328052562095192,0.745859213250518,-9.0,-4.0
account_check_status credit_amount credit_history other_installment_plans people_under_maintenance present_emp_since present_res_since telephone,0.694761904761905,0.19993157406657158,0.905123019885406,-8.0,-4.0
credit_history credits_this_bank foreign_worker housing job other_debtors people_under_maintenance personal._status present_emp_since property savings,0.660654761904762,0.1128780968815481,0.515320910973085,-11.0,-7.0
age credit_amount credit_history credits_this_bank duration_in_month housing job other_installment_plans people_under_maintenance present_res_since purpose savings sex telephone,0.697857142857143,0.2528277985125448,0.588283323127169,-14.0,-7.0
account_check_status age credit_history credits_this_bank foreign_worker installment_as_income_perc job other_debtors other_installment_plans personal._status present_emp_since present_res_since property purpose savings,0.731071428571429,0.14540080302734204,0.755105401844532,-15.0,-7.0
account_check_status age foreign_worker housing installment_as_income_perc other_installment_plans personal._status present_emp_since property purpose savings telephone,0.707619047619048,0.1696889317578973,0.851074462768616,-12.0,-7.0
account_check_status credits_this_bank housing installment_as_income_perc other_debtors other_installment_plans people_under_maintenance personal._status present_emp_since property sex telephone,0.68952380952381,0.0853719451280428,0.805445761967501,-12.0,-7.0
age credit_amount credit_history housing installment_as_income_perc job present_res_since property purpose,0.665595238095238,0.04393008974964589,0.949275362318841,-9.0,-5.0
account_check_status age credit_amount credit_history credits_this_bank duration_in_month housing job other_debtors other_installment_plans people_under_maintenance present_res_since purpose savings sex telephone,0.718928571428571,0.089133089133089,0.766722408026756,-16.0,-7.0
account_check_status credits_this_bank duration_in_month housing installment_as_income_perc job other_installment_plans personal._status present_emp_since savings sex,0.703333333333333,0.22189476710753347,0.747301880974406,-11.0,-5.0
account_check_status credits_this_bank foreign_worker housing installment_as_income_perc job other_debtors people_under_maintenance present_emp_since property,0.669940476190476,0.21559118927539955,0.923619271445358,-10.0,-6.0
account_check_status foreign_worker housing installment_as_income_perc job other_installment_plans people_under_maintenance present_emp_since property purpose savings,0.691130952380952,0.2502134646962237,1.01256038647343,-11.0,-6.0
account_check_status credit_history credits_this_bank duration_in_month other_debtors people_under_maintenance personal._status purpose savings sex telephone,0.737261904761905,0.05180493265599661,0.849827467218772,-11.0,-4.0
account_check_status age credit_amount foreign_worker installment_as_income_perc job personal._status property sex telephone,0.693690476190476,0.09880286271958381,0.716434235712333,-10.0,-7.0
account_check_status credit_history housing job other_installment_plans people_under_maintenance personal._status present_res_since sex,0.674107142857143,0.030949419937107897,0.733530961791831,-9.0,-6.0
housing installment_as_income_perc job personal._status present_emp_since property purpose savings telephone,0.673690476190476,0.2458601743084502,0.605032648510909,-9.0,-6.0
account_check_status age credit_history duration_in_month other_debtors people_under_maintenance personal._status present_res_since sex telephone,0.716547619047619,-0.04937545476594714,0.646759038063386,-10.0,-6.0
account_check_status age credit_amount credit_history duration_in_month foreign_worker housing installment_as_income_perc other_debtors other_installment_plans people_under_maintenance property savings sex telephone,0.738214285714286,0.05059412132582851,0.822705314009662,-15.0,-7.0
account_check_status age credits_this_bank duration_in_month foreign_worker installment_as_income_perc other_debtors present_emp_since present_res_since savings sex,0.739166666666667,0.21710671067106746,0.845888936719759,-11.0,-5.0
age credit_history duration_in_month foreign_worker property sex,0.660119047619048,0.06777493606138109,0.513725490196078,-6.0,-4.0
account_check_status age credit_amount duration_in_month foreign_worker installment_as_income_perc job other_debtors other_installment_plans people_under_maintenance present_emp_since present_res_since purpose savings,0.718095238095238,0.4062169312169315,0.830615942028986,-14.0,-6.0
account_check_status credit_amount people_under_maintenance property purpose telephone,0.686666666666667,0.125427337835555,0.935517748372191,-6.0,-3.0
account_check_status foreign_worker installment_as_income_perc personal._status present_emp_since present_res_since savings telephone,0.724880952380952,0.22943037259897697,0.824623042014346,-8.0,-5.0
age foreign_worker housing installment_as_income_perc people_under_maintenance personal._status present_emp_since purpose savings,0.677857142857143,0.328591417910448,0.682291666666667,-9.0,-6.0
account_check_status credits_this_bank installment_as_income_perc other_debtors other_installment_plans people_under_maintenance present_emp_since property,0.690892857142857,0.17975399199227743,0.922906602254428,-8.0,-3.0
account_check_status credits_this_bank foreign_worker housing installment_as_income_perc other_debtors other_installment_plans present_emp_since property sex telephone,0.691666666666667,0.1930039725705358,0.897963180571876,-11.0,-6.0
account_check_status age credits_this_bank personal._status savings sex,0.713869047619048,0.0566156496389055,0.784977703455964,-6.0,-3.0
credits_this_bank duration_in_month foreign_worker installment_as_income_perc people_under_maintenance personal._status property purpose savings telephone,0.690714285714286,0.10982094326125161,0.718370544457501,-10.0,-5.0
account_check_status credits_this_bank duration_in_month foreign_worker other_debtors other_installment_plans people_under_maintenance purpose savings sex telephone,0.714761904761905,0.2263419093639807,0.796166432912576,-11.0,-4.0
